route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
195,07:09:00,1,1000,700,23,50,23,28,39,11,0,2242,9212.719,,0.00025010108947753906,,1787.2810000000009
187,13:47:00,0.2,1000,700,7,40,18,25,31,9,11,2284,12942.014,,0.00045490264892578125,,-3942.013999999999
199,16:04:00,1,1000,700,20,43,21,17,29,14,1,2913,11726.500999999998,,0.00023508071899414062,,2273.4990000000016
155,13:50:00,1,1000,700,15,30,16,20,28,2,1,1500,6181.702000000001,,0.0001418590545654297,,-4181.702000000001
196,16:23:30,0,1000,700,2,27,9,16,22,5,7,0,8560.149000000001,,0.00021696090698242188,,-3560.1490000000013
191,13:41:30,0.2,1000,700,4,22,9,17,18,4,5,1270,5520.904684128705,,0.00017690658569335938,,-1520.9046841287054
192,14:50:30,0.2,1000,700,4,53,16,28,42,11,12,1686,8958.02,,0.00043392181396484375,,2041.9799999999996
194,07:10:00,1,1000,700,23,51,22,19,32,19,-1,2236,8741.315,,0.00017309188842773438,,10258.685
192,08:28:00,0,1000,700,2,34,9,26,29,5,7,0.0,8597.768,,0.00028896331787109375,,-3597.768
185,07:21:00,0.4,1000,700,12,88,23,45,79,9,11,3318,13827.387999999999,,0.0010581016540527344,,-4827.387999999999
193,13:30:30,0,1000,700,2,48,15,20,36,12,13,0.0,6999.199000000001,,0.0004878044128417969,,5000.800999999999
193,08:16:30,0,1000,700,2,44,4,33,40,4,2,0,5850.454999999999,,0.00020003318786621094,,-1850.454999999999
199,16:04:00,0,1000,700,2,43,10,24,38,5,8,0,13269.409,,0.0004019737243652344,,-8269.409
155,13:50:00,0,1000,700,2,31,14,18,22,9,12,0.0,7263.417,,0.00027680397033691406,,1736.5829999999996
55,18:56:00,0.2,1000,700,6,58,26,28,43,15,20,3992.513779527566,22306.16,,0.001009225845336914,,-7306.16
196,09:57:30,0,1000,700,2,15,6,9,12,3,4,0,6780.61,,7.796287536621094e-05,,-3780.6099999999997
194,07:10:00,0,1000,700,2,51,11,28,43,8,9,0,10016.908,,0.0004329681396484375,,-2016.9079999999994
196,16:23:30,1,1000,700,15,28,15,13,20,8,0,1791,7461.303,,0.00012683868408203125,,538.6970000000001
195,07:09:00,0.2,1000,700,5,48,15,25,37,11,10,715.3603256979186,10739.838,,0.00045990943908691406,,260.16200000000026
185,07:21:00,0,1000,700,2,88,13,53,80,8,11,0.0,15527.309,,0.0010378360748291016,,-7527.308999999999
192,08:28:00,1,1000,700,13,34,12,22,24,10,-1,1828,7236.521,,9.393692016601562e-05,,2763.4790000000003
155,13:50:00,0.2,1000,700,4,30,9,20,24,6,5,1388,6502.17,,0.00024509429931640625,,-502.1700000000001
193,08:16:30,1,1000,700,14,43,14,24,34,9,0,1370,5418.034000000001,,0.0001697540283203125,,3581.9659999999994
192,14:50:30,0,1000,700,2,53,6,37,49,4,4,0,8864.561,,0.0002892017364501953,,-4864.561
187,16:47:00,1,1000,700,30,45,31,24,29,16,1,3289,12328.012,,0.00028705596923828125,,3671.9879999999994
196,09:57:30,0.2,1000,700,4,15,13,7,8,7,9,1242,7873.023,,0.000141143798828125,,-873.0230000000001
185,15:27:00,0.2,1000,700,4,27,11,16,20,7,7,2027.8500805296935,8511.041,,0.00021195411682128906,,-1511.0409999999993
155,07:44:30,0.4,1000,700,6,45,9,27,42,3,3,1770,7785.648,,0.0003688335418701172,,-4785.648
55,15:58:00,0.2,1000,700,5,71,19,39,58,13,14,3625,16832.829999999998,,0.0009980201721191406,,-3832.829999999998
194,07:10:00,0.4,1000,700,10,52,14,22,44,8,4,2236,8138.183,,0.0002942085266113281,,-138.183
187,16:47:00,0,1000,700,2,46,10,37,41,5,8,0,14603.750000000002,,0.0004329681396484375,,-9603.750000000002
195,13:21:00,0.4,1000,700,10,42,20,26,31,11,10,2130.006755547598,9798.506999999998,,0.0002827644348144531,,1201.4930000000022
192,08:28:00,0.4,1000,700,6,34,12,22,28,6,6,1435.2979599141,8005.406,,0.00023102760314941406,,-2005.406
193,08:16:30,0.2,1000,700,3,44,5,32,40,4,2,1266,5850.455000000001,,0.00023293495178222656,,-1850.4550000000008
196,16:23:30,0.4,1000,700,7,29,14,9,21,8,7,1562,7688.973,,0.0002498626708984375,,311.02700000000004
155,13:50:00,0.4,1000,700,7,31,12,21,24,7,5,1507.833482462418,6343.117,,0.00022983551025390625,,656.8829999999998
55,18:56:00,1,1000,700,28,58,29,40,42,16,1,5020,19099.205000000005,,0.00038313865661621094,,-3099.2050000000054
195,07:09:00,0.4,1000,700,10,50,16,31,44,6,6,1280,9064.823999999999,,0.0003719329833984375,,-3064.8239999999987
55,18:56:00,0.4,1000,700,12,56,26,31,44,12,14,5020,20733.349000000002,,0.0025081634521484375,,-8733.349000000002
199,16:04:00,0.2,1000,700,5,39,14,23,32,7,9,2370,12531.904999999999,,0.0003457069396972656,,-5531.904999999999
191,07:22:00,0.4,1000,700,6,34,11,15,27,7,5,1194,5080.948734896091,,0.0002079010009765625,,1919.051265103909
55,18:56:00,0,1000,700,2,62,11,47,56,6,9,0,22755.184999999998,,0.0006630420684814453,,-16755.184999999998
187,13:47:00,0,1000,700,2,37,7,34,34,3,5,0,12669.937999999998,,0.00021696090698242188,,-9669.937999999998
192,14:50:30,0.4,1000,700,7,53,16,27,45,8,9,1793.5560576234711,8432.369999999999,,0.00039196014404296875,,-432.369999999999
187,13:47:00,0.4,1000,700,13,41,24,26,30,11,11,2422.974319971363,12283.805,,0.0012819766998291016,,-1283.8050000000003
193,08:16:30,1,1000,700,14,46,14,23,33,13,0,1370,5418.034000000001,,0.000186920166015625,,7581.965999999999
155,13:50:00,0.2,1000,700,4,32,12,17,25,7,8,1388.1328292770268,6994.003000000001,,0.0002570152282714844,,5.996999999999389
193,13:30:30,1,1000,700,15,48,14,28,40,8,-1,1494,5866.755,,0.0001690387725830078,,2133.245
192,08:28:00,1,1000,700,13,34,12,20,22,12,-1,1828,7236.521,,9.202957153320312e-05,,4763.479
194,07:10:00,0,1000,700,2,52,8,26,47,5,6,0,9573.041,,0.0003161430358886719,,-4573.040999999999
196,09:57:30,0,1000,700,2,13,9,6,9,4,7,0,8665.661,,6.699562072753906e-05,,-4665.661
185,07:21:00,0,1000,700,2,89,14,52,82,7,12,0.0,15404.842,,0.0010700225830078125,,-8404.842
194,15:17:30,1,1000,700,23,48,23,17,31,17,0,2247,8774.130999999998,,0.00023865699768066406,,8225.869000000002
198,19:44:00,0.2,1000,700,2,24,5,16,20,4,3,0,4102.416,,0.00014591217041015625,,-102.41600000000017
194,15:17:30,0.4,1000,700,10,50,16,21,39,11,6,2004,8722.11,,0.00043010711669921875,,2277.8899999999994
185,15:27:00,0,1000,700,2,21,5,23,19,2,3,0,7328.366000000001,,9.512901306152344e-05,,-5328.366000000001
193,13:30:30,0,1000,700,2,46,9,28,38,8,7,0,6393.648,,0.0004038810729980469,,1606.3519999999999
185,07:21:00,0.4,1000,700,12,89,22,47,79,10,10,3358.767448103077,14098.958,,0.0013470649719238281,,-4098.9580000000005
199,16:04:00,0.4,1000,700,9,42,20,20,33,9,11,2913,11887.714,,0.0005629062652587891,,-2887.714
191,07:22:00,0.2,1000,700,3,33,8,23,29,4,5,456,5918.15373489609,,0.00020503997802734375,,-1918.15373489609
191,13:41:30,0.2,1000,700,4,21,8,15,18,3,4,1270,5520.904684128705,,0.00012993812561035156,,-2520.9046841287054
185,07:21:00,1,1000,700,29,90,28,44,62,28,-1,3318,12932.415000000003,,0.00036907196044921875,,15067.584999999997
196,16:23:30,0,1000,700,2,29,8,17,25,4,6,0,8205.929,,0.0001919269561767578,,-4205.929
194,15:17:30,0,1000,700,2,50,7,28,47,3,5,0,9614.851,,0.00028204917907714844,,-6614.851000000001
196,09:57:30,1,1000,700,15,15,16,11,13,2,1,1696,7418.07,,8.893013000488281e-05,,-5418.07
