route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
193,08:16:30,0,1000,700,2,43,7,24,38,5,5,0,6237.403000000001,,0.00023889541625976562,,-1237.4030000000012
192,08:28:00,0,1000,700,2,33,11,20,26,7,9,0.0,8662.198,,0.0002617835998535156,,-1662.1980000000003
194,07:10:00,1,1000,700,23,51,23,19,29,22,0,2236,8741.315,,0.00020503997802734375,,13258.685
198,19:44:00,0,1000,700,2,23,7,10,18,5,5,0,4049.575,,0.00014495849609375,,950.4250000000002
185,15:27:00,0.4,1000,700,8,26,13,20,20,6,5,2042.4345025053626,8440.078,,0.00028705596923828125,,-2440.0779999999995
192,08:28:00,0.2,1000,700,3,33,8,23,28,5,5,1432,7880.847000000001,,0.00024890899658203125,,-2880.8470000000007
187,13:47:00,0.4,1000,700,13,38,22,27,24,14,9,2407,12540.688,,0.0003409385681152344,,1459.312
55,18:56:00,0,1000,700,2,58,18,36,48,10,16,0.0,22883.111,,0.0007641315460205078,,-12883.111
155,13:50:00,0.4,1000,700,7,32,11,20,27,5,4,1500,6534.037,,0.00018835067749023438,,-1534.0370000000003
193,08:16:30,0.2,1000,700,3,43,8,23,38,5,5,1266,6237.403,,0.0002791881561279297,,-1237.4030000000002
187,16:47:00,0,1000,700,2,43,14,40,36,7,12,0,13869.537000000002,,0.0004189014434814453,,-6869.537000000002
