route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
155,13:50:00,1,1000,700,15,32,18,7,15,17,3,2532.1050838105366,6709.258,,0.00011992454528808594,,10290.742
187,13:47:00,0.2,1000,700,7,38,19,15,24,14,12,3272.4601676210877,13910.864999999998,,0.0004248619079589844,,89.13500000000204
196,16:23:30,0,1000,700,2,29,2,17,28,1,0,0.0,2999.726,,0.0001220703125,,-1999.726
194,07:10:00,0,1000,700,2,51,7,21,48,3,5,0.0,9594.103,,0.0002880096435546875,,-6594.102999999999
192,08:28:00,1,1000,700,13,33,16,7,12,21,3,3037.035127356241,8482.752,,9.894371032714844e-05,,12517.248
155,13:50:00,0.2,1000,700,4,32,12,10,18,14,8,1698.5870839298514,6577.149,,0.000213623046875,,7422.851
193,08:16:30,1,1000,700,14,43,16,7,10,33,2,2253.105195657361,6066.829000000001,,0.0001049041748046875,,26933.171
196,16:23:30,1,1000,700,15,29,15,8,18,11,0,2893.0054357551926,7484.494,,0.0001087188720703125,,3515.5060000000003
155,13:50:00,0,1000,700,2,32,9,13,27,5,7,0.0,6592.378,,0.00017905235290527344,,-1592.3779999999997
193,08:16:30,0,1000,700,2,43,8,15,30,13,6,0.0,8409.283,,0.000225067138671875,,4590.717000000001
192,08:28:00,0,1000,700,2,33,8,16,27,6,6,0.0,6037.745,,0.0002422332763671875,,-37.74499999999989
194,07:10:00,1,1000,700,23,51,24,8,19,32,1,3673.780079336673,8928.65,,0.0001583099365234375,,23071.35
198,19:44:00,0,1000,700,2,23,7,9,19,4,5,0.0,4825.687,,0.0001342296600341797,,-825.6869999999999
185,15:27:00,0.4,1000,700,8,26,18,8,14,12,10,3253.2894148174746,10537.218,,0.00017881393432617188,,1462.7819999999992
192,08:28:00,0.2,1000,700,3,33,10,14,26,7,7,1637.167516702466,9174.388,,0.0002810955047607422,,-2174.388000000001
187,13:47:00,0.4,1000,700,13,38,23,11,20,18,10,4136.814543068474,12798.054,,0.0003027915954589844,,5201.946
55,18:56:00,0,1000,700,2,58,9,28,53,5,7,0.0,19473.454999999998,,0.0005400180816650391,,-14473.454999999998
155,13:50:00,0.4,1000,700,7,32,14,9,15,17,7,2298.6393685874427,7816.57,,0.00017881393432617188,,9183.43
193,08:16:30,0.2,1000,700,3,43,8,15,27,16,5,1649.306713791455,6647.288000000001,,0.00024437904357910156,,9352.712
187,16:47:00,0,1000,700,2,43,8,26,39,4,6,0.0,8424.34,,0.0002570152282714844,,-4424.34
