route,route_time,percentage_comp_stops,benefit,walking_distance,compulsory_stops,requests,used-nodes,unused_nodes,unserved_requests,served_requests,optional_stops_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,obj_val
193,08:16:30,1,1000,700,14,46,14,23,33,13,0,1370,5418.034000000001,,4.410743713378906e-05,,7581.965999999999
155,13:50:00,0.2,1000,700,4,32,6,23,27,5,2,1388,6769.043,,3.504753112792969e-05,,-1769.0429999999997
193,13:30:30,1,1000,700,15,48,14,28,40,8,-1,1494,5866.755,,4.696846008300781e-05,,2133.245
192,08:28:00,1,1000,700,13,34,12,20,22,12,-1,1828,7236.521,,3.314018249511719e-05,,4763.479
194,07:10:00,0,1000,700,2,52,4,30,48,4,2,0,9175.179,,4.9114227294921875e-05,,-5175.179
196,09:57:30,0,1000,700,2,13,7,8,6,7,5,0,8026.317,,2.09808349609375e-05,,-1026.317
185,07:21:00,0,1000,700,2,89,8,58,85,4,6,0,15084.327,,0.00010085105895996094,,-11084.327
194,15:17:30,1,1000,700,23,48,23,17,30,18,0,2247,8774.130999999998,,4.887580871582031e-05,,9225.869000000002
198,19:44:00,0.2,1000,700,2,24,2,19,22,2,0,0,3292.654,,2.4080276489257812e-05,,-1292.654
194,15:17:30,0.4,1000,700,10,50,16,21,32,18,6,2004,8722.11,,5.602836608886719e-05,,9277.89
185,15:27:00,0,1000,700,2,21,7,21,16,5,5,0,8517.243,,3.0994415283203125e-05,,-3517.2430000000004
193,13:30:30,0,1000,700,2,46,5,32,41,5,3,0,6201.21,,4.506111145019531e-05,,-1201.21
185,07:21:00,0.4,1000,700,12,89,23,46,65,24,11,3354.6286685755185,14148.976,,0.00010013580322265625,,9851.024
199,16:04:00,0.4,1000,700,9,42,14,26,36,6,5,2913,11857.228,,7.915496826171875e-05,,-5857.227999999999
191,07:22:00,0.2,1000,700,3,33,7,24,26,7,4,447.2242304939173,6020.634734896092,,3.886222839355469e-05,,979.3652651039083
191,13:41:30,0.2,1000,700,4,21,9,14,13,8,5,1270,6048.734684128705,,3.075599670410156e-05,,1951.2653158712947
185,07:21:00,1,1000,700,29,90,28,44,62,28,-1,3318,12932.415000000003,,8.20159912109375e-05,,15067.584999999997
196,16:23:30,0,1000,700,2,29,7,18,24,5,5,0,8364.686000000002,,4.9114227294921875e-05,,-3364.6860000000015
194,15:17:30,0,1000,700,2,50,5,30,47,3,3,0,8414.994,,5.412101745605469e-05,,-5414.994000000001
196,09:57:30,1,1000,700,15,15,16,11,13,2,1,1696,7418.07,,2.8848648071289062e-05,,-5418.07
187,13:47:00,0.2,1000,700,7,37,15,29,29,8,8,2284,13640.231,,4.792213439941406e-05,,-5640.231
185,15:27:00,1,1000,700,18,26,17,19,23,3,-1,2021,7930.444000000001,,3.4809112548828125e-05,,-4930.444000000001
155,13:50:00,1,1000,700,15,32,16,16,19,13,1,1500,6181.702000000001,,3.4809112548828125e-05,,6818.297999999999
199,13:24:30,0,1000,700,2,29,6,20,23,6,4,0,13125.302000000001,,3.814697265625e-05,,-7125.3020000000015
198,10:24:30,0,1000,700,2,17,4,15,14,3,2,0,3332.3149999999996,,2.193450927734375e-05,,-332.3149999999996
193,13:30:30,0.4,1000,700,7,46,11,26,37,9,4,1494,6401.519,,5.0067901611328125e-05,,2598.4809999999998
195,13:21:00,1,1000,700,23,41,26,24,28,13,3,2302,9334.202999999998,,5.0067901611328125e-05,,3665.7970000000023
199,13:24:30,0.4,1000,700,9,32,16,17,21,11,7,2873,12507.652,,4.315376281738281e-05,,-1507.652
191,07:22:00,1,1000,700,14,34,14,18,26,8,0,1255,5095.854734896091,,3.62396240234375e-05,,2904.145265103909
55,15:58:00,0,1000,700,2,71,7,50,66,5,5,0.0,18254.997999999996,,9.799003601074219e-05,,-13254.997999999996
198,10:24:30,1,1000,700,8,18,7,11,13,5,-1,677,2855.712,,2.288818359375e-05,,2144.288
199,13:24:30,1,1000,700,20,32,22,15,21,11,2,2873,11390.419999999998,,3.886222839355469e-05,,-390.41999999999825
194,07:10:00,0.2,1000,700,5,51,10,26,34,17,5,2079,8972.147,,5.602836608886719e-05,,8027.852999999999
191,07:22:00,0,1000,700,2,31,7,19,25,6,5,0,5769.065734896091,,4.100799560546875e-05,,230.93426510390873
195,13:21:00,0.2,1000,700,5,41,10,32,35,6,5,2146,9414.623,,4.887580871582031e-05,,-3414.6229999999996
198,10:24:30,0.2,1000,700,3,18,3,14,14,4,0,290,2855.712,,2.3126602172851562e-05,,1144.288
195,13:21:00,0,1000,700,2,40,5,39,37,3,3,0,9964.456,,4.506111145019531e-05,,-6964.456
193,08:16:30,0.4,1000,700,6,46,10,25,35,11,4,1273.055878668576,5927.880999999999,,4.7206878662109375e-05,,5072.119000000001
198,19:44:00,1,1000,700,8,24,8,12,17,7,0,686,3464.248,,2.5033950805664062e-05,,3535.752
187,16:47:00,0.2,1000,700,7,45,12,36,38,7,5,2298.9260916249114,12853.685,,4.982948303222656e-05,,-5853.6849999999995
55,15:58:00,1,1000,700,23,71,25,35,54,17,2,3922,15309.040000000003,,7.033348083496094e-05,,1690.9599999999973
191,13:41:30,0.4,1000,700,7,22,8,13,13,9,1,1342,5520.9046841287045,,2.5987625122070312e-05,,3479.0953158712955
