route,route_starting_time,percentage_of_compulsory_stops,benefit,walking_distance,num_segments,compulsory_stops,requests,number_optional_stops,used_nodes,unused_nodes,unserved_requests,served_requests,opt_stops_visited,opt_stops_not_visited,total_used-travel_time,travel_distance,build_time,solve_time,optimality_gap,objective_value
194,07:10:00,0,1000,700,1,2,51,26,2,26,51,0,0,26,3909.0,6242.156000000001,0.05505204200744629,0.0010020732879638672,0.0,-6242.156000000001
192,08:28:00,1,1000,700,12,13,33,10,13,10,16,17,0,10,3391.0,7236.521,0.0029630661010742188,0.00043201446533203125,0.0,9763.479
155,13:50:00,0.2,1000,700,3,4,32,18,4,18,26,6,0,18,3179.0,5493.888999999999,0.008595943450927734,0.0005478858947753906,0.0,506.1110000000008
193,08:16:30,1,1000,700,13,14,43,9,14,9,13,30,0,9,2453.0,5418.034000000001,0.003361940383911133,0.00043082237243652344,0.0,24581.966
196,16:23:30,1,1000,700,14,15,29,8,15,8,19,10,0,8,3088.0,7461.312,0.0027132034301757812,0.0004639625549316406,0.0,2538.688
155,13:50:00,0,1000,700,1,2,32,20,2,20,32,0,0,20,2964.0,4733.399000000001,0.020927906036376953,0.0005548000335693359,0.0,-4733.399000000001
193,08:16:30,0,1000,700,1,2,43,21,2,21,35,8,0,21,3139.0,5013.180999999999,0.03101491928100586,0.0006740093231201172,0.0,2986.8190000000013
192,08:28:00,0,1000,700,1,2,33,22,2,22,32,1,0,22,2291.0,3657.772000000001,0.026378870010375977,0.000659942626953125,0.0,-2657.772000000001
194,07:10:00,1,1000,700,22,23,51,9,23,9,20,31,0,9,3787.0,8741.315,0.005686044692993164,0.0005819797515869141,0.0,22258.684999999998
198,19:44:00,0,1000,700,1,2,23,14,2,14,23,0,0,14,2062.0,3292.667999999999,0.008292913436889648,0.000408172607421875,0.0,-3292.667999999999
185,15:27:00,0.4,1000,700,7,8,26,18,8,18,22,4,0,18,3837.0,7709.9529999999995,0.005011081695556641,0.0005719661712646484,0.0,-3709.9529999999995
192,08:28:00,0.2,1000,700,2,3,33,21,3,21,32,1,0,21,3342.0,5874.095000000001,0.01390695571899414,0.0004680156707763672,0.0,-4874.095000000001
187,13:47:00,0.4,1000,700,12,13,38,21,13,21,30,8,0,21,5502.0,11674.129,0.008496999740600586,0.0005178451538085938,0.0,-3674.129000000001
55,18:56:00,0,1000,700,1,2,58,35,2,35,58,0,0,35,7244.0,11566.579,0.10932040214538574,0.001277923583984375,0.0,-11566.579
155,13:50:00,0.4,1000,700,6,7,32,16,7,16,22,10,0,16,2875.0,5531.778,0.005280017852783203,0.0005269050598144531,0.0,4468.222
193,08:16:30,0.2,1000,700,2,3,43,20,3,20,32,11,0,20,3016.0,5013.1810000000005,0.016012907028198242,0.0005939006805419922,0.0,5986.8189999999995
187,16:47:00,0,1000,700,1,2,43,32,2,32,43,0,0,32,3369.0,5380.339000000001,0.06835389137268066,0.0009539127349853516,0.0,-5380.339000000001
